Título,Link,Localização,Empresa,Data,DataExtracao
Auxiliar Topografia,https://www.linkedin.com/jobs/view/4305365650/?eBP=NON_CHARGEABLE_CHANNEL&refId=Hnv0BHK4gWe8%2BUHJNIqxlQ%3D%3D&trackingId=kBKenRflB6YU11cqr5Ze4w%3D%3D&trk=flagship3_search_srp_jobs,"Bataguassu, Mato Grosso do Sul, Brasil (Presencial)",Bracell,,2025-09-29 18:34:02.912697
Banco de Talentos - Pessoa com Deficiência,https://www.linkedin.com/jobs/view/4297615310/?eBP=NON_CHARGEABLE_CHANNEL&refId=Hnv0BHK4gWe8%2BUHJNIqxlQ%3D%3D&trackingId=uSCSNYW4VPIn8xPuBOUerg%3D%3D&trk=flagship3_search_srp_jobs,"Lençóis Paulista, São Paulo, Brasil (Presencial)",Bracell,2025-09-08 18:32:06.250101,2025-09-29 18:34:03.369746
Auxiliar de Topografia,https://www.linkedin.com/jobs/view/4305372026/?eBP=NON_CHARGEABLE_CHANNEL&refId=Hnv0BHK4gWe8%2BUHJNIqxlQ%3D%3D&trackingId=XjWD1fyspm4VU8evdON7tA%3D%3D&trk=flagship3_search_srp_jobs,"Bataguassu, Mato Grosso do Sul, Brasil (Presencial)",Bracell,,2025-09-29 18:34:03.955890
Analista Fiscal,https://www.linkedin.com/jobs/view/4289108350/?eBP=NON_CHARGEABLE_CHANNEL&refId=Hnv0BHK4gWe8%2BUHJNIqxlQ%3D%3D&trackingId=52knnO1Wzdhf%2BCcbHOJ8bQ%3D%3D&trk=flagship3_search_srp_jobs,"Campinas, São Paulo, Brasil (Presencial)",Bracell,2025-09-15 18:32:06.250101,2025-09-29 18:34:04.455761
Técnico(a) Planejamento Controle Florestal Pleno,https://www.linkedin.com/jobs/view/4305355936/?eBP=NON_CHARGEABLE_CHANNEL&refId=Hnv0BHK4gWe8%2BUHJNIqxlQ%3D%3D&trackingId=wxSe%2Bc%2Bg%2BxxrwLZSg1jyJQ%3D%3D&trk=flagship3_search_srp_jobs,"Bataguassu, Mato Grosso do Sul, Brasil (Presencial)",Bracell,,2025-09-29 18:34:04.882830
Comprador(a),https://www.linkedin.com/jobs/view/4304211039/?eBP=NON_CHARGEABLE_CHANNEL&refId=Hnv0BHK4gWe8%2BUHJNIqxlQ%3D%3D&trackingId=yHagLfC4i6k%2BePtlUDDiVw%3D%3D&trk=flagship3_search_srp_jobs,"Lençóis Paulista, São Paulo, Brasil (Presencial)",Bracell,2025-09-26 18:32:06.250101,2025-09-29 18:34:05.397468
Especialista Silvicultura - Central de Operações Integradas,https://www.linkedin.com/jobs/view/4302386814/?eBP=NON_CHARGEABLE_CHANNEL&refId=Hnv0BHK4gWe8%2BUHJNIqxlQ%3D%3D&trackingId=RGaaj%2Bond8dTSamha2yGBQ%3D%3D&trk=flagship3_search_srp_jobs,"Bataguassu, Mato Grosso do Sul, Brasil (Presencial)",Bracell,2025-09-22 18:32:06.250101,2025-09-29 18:34:05.827478
Analista Fiscal,https://www.linkedin.com/jobs/view/4289106470/?eBP=NON_CHARGEABLE_CHANNEL&refId=Hnv0BHK4gWe8%2BUHJNIqxlQ%3D%3D&trackingId=ZLQfg8eW4m2%2BYg0q2D8n%2BA%3D%3D&trk=flagship3_search_srp_jobs,"Campinas, São Paulo, Brasil (Presencial)",Bracell,2025-09-15 18:32:06.250101,2025-09-29 18:34:06.340375
Cadastro Inclusivo de Talentos - PCD | Mato Grosso do Sul,https://www.linkedin.com/jobs/view/4258099242/?eBP=NON_CHARGEABLE_CHANNEL&refId=Hnv0BHK4gWe8%2BUHJNIqxlQ%3D%3D&trackingId=mLOjS9fPUBpKSFzXF52kRQ%3D%3D&trk=flagship3_search_srp_jobs,"Mato Grosso do Sul, Brasil (Presencial)",Bracell,2025-09-22 18:32:06.250101,2025-09-29 18:34:06.833826
Banco de Talentos - Operador de Maquina de Colheita - BA,https://www.linkedin.com/jobs/view/4254887719/?eBP=NON_CHARGEABLE_CHANNEL&refId=Hnv0BHK4gWe8%2BUHJNIqxlQ%3D%3D&trackingId=AlR%2Bc1MNOM7ncMVRqNSywg%3D%3D&trk=flagship3_search_srp_jobs,"Alagoinhas, Bahia, Brasil (Presencial)",Bracell,2025-09-22 18:32:06.250101,2025-09-29 18:34:07.386666
